houseguid,mun_obr,lat,lon,exploitation_start_year,total_ppl,total_flats_count,vacant_flats_count,vacant_flats_share
0118312f-b49a-44b7-9c08-9438200af93a,район Раменки,55.70006275,37.49998825747491,2014.0,1036,653,200.0,0.30627871362940273
0125e704-ad71-44ff-b0b1-001ba1055be0,Рязанский район,55.72338155,37.7823227,1958.0,45,32,12.0,0.375
01296e32-13c6-47d4-9b33-a31ef37915ce,район Раменки,55.6967221,37.51176204265278,2002.0,376,168,4.0,0.023809523809523808
012aeefd-a2a5-4bbb-ab63-19a2f25a542a,городской округ Троицк,55.85928065,37.66434290694926,2004.0,35,16,5.0,0.3125
012da1e0-ef18-41d4-8500-444d60fb94d7,Тверской район,55.7724045,37.60642995361603,1947.0,177,97,37.0,0.38144329896907214
013cbff5-d669-4c7c-b5a3-a04f418645dc,Басманный район,55.763330100000005,37.64279017986273,1960.0,129,91,29.0,0.31868131868131866
0147055d-cd14-4501-8f46-b53073d48bf5,район Печатники,55.673018049999996,37.72175285381432,1971.0,173,80,9.0,0.1125
01474b29-6aac-4e86-a77b-f2155786e4ea,район Орехово-Борисово Южное,55.60033235,37.7430406807873,1986.0,474,203,10.0,0.04926108374384237
014cf033-1c51-41fa-b160-98b28aafb8be,Басманный район,55.77312595,37.70383406158838,1977.0,216,112,6.0,0.05357142857142857
0153089f-f32a-47ca-83d7-b5790292b644,район Проспект Вернадского,55.6655578,37.50732916700072,2007.0,306,144,12.0,0.08333333333333333
01559d89-d097-48d1-970d-4b850dfc06b2,район Черёмушки,55.6522099,37.564358999999996,1966.0,145,83,13.0,0.1566265060240964
0158c8bf-6944-41fb-a416-05e875aec7d7,район Коньково,55.634038849999996,37.5388646,1971.0,187,98,14.0,0.14285714285714285
015a0377-8d9e-4595-a83f-21e5d5213991,Донской район,55.69209535,37.60422461973583,1964.0,109,68,12.0,0.17647058823529413
015c5e1a-de2b-4d45-8633-cab72e659317,Хорошёвский район,55.783810200000005,37.53381768629764,2006.0,212,116,34.0,0.29310344827586204
016db58b-9c95-4e98-b6e8-13680ef0d9e4,Басманный район,55.7541665,37.637379061730954,1914.0,150,65,9.0,0.13846153846153847
0171674e-7786-447d-9574-520256690dd4,Басманный район,55.773763849999995,37.694835268580334,1999.0,302,141,26.0,0.18439716312056736
0177363c-0063-4b15-9ba6-f8909f0b4eff,Академический район,55.685500700000006,37.58839640000001,1974.0,379,214,6.0,0.028037383177570093
0182d326-0ba3-46e3-b49c-89bb428f232a,район Перово,55.746016,37.78493280043614,1956.0,113,57,12.0,0.21052631578947367
01867767-183d-489b-b720-a61582c9fa00,район Зябликово,55.61997205,37.74128432826757,1997.0,348,201,50.0,0.24875621890547264
018e3bbe-0d7b-44b5-8460-1e783a636002,район Кунцево,55.74716715,37.40624840821562,1975.0,187,96,13.0,0.13541666666666666
0193b0f4-20ac-4146-a70f-d27320edbaa7,район Гольяново,55.816341300000005,37.78974194345504,1990.0,301,165,12.0,0.07272727272727272
01a3cfd9-65de-4712-b305-a8e9420a5576,Тверской район,55.78588225,37.60105599038562,1975.0,507,230,37.0,0.1608695652173913
01adf4ee-0ad1-43ed-b3a9-81e66759f9ae,район Раменки,55.72544265,37.52820341854931,1955.0,161,66,2.0,0.030303030303030304
01b076f0-047c-41b0-a6fe-1ffb87881e3d,район Бибирево,55.8937714,37.61826936281855,1978.0,375,191,27.0,0.14136125654450263
01b3225c-832c-47be-8c7c-c711768840a0,Лосиноостровский район,55.8814585,37.69289188709239,1976.0,325,190,34.0,0.17894736842105263
01bb10d9-b81c-4098-9aaf-043b755e2f0e,район Марфино,55.846197399999994,37.57881875758006,1966.0,123,72,17.0,0.2361111111111111
01bf67e5-599a-40c7-8f8a-95805920f172,район Сокольники,55.7894862,37.668152209422615,1962.0,112,58,9.0,0.15517241379310345
01c03da1-0d0b-41dd-bdda-f80673fa8527,городской округ Троицк,55.4887491,37.29418825943114,2010.0,393,206,17.0,0.0825242718446602
01c763f4-7e35-475e-a9a6-dde1349c7792,район Южное Тушино,55.8481858,37.4390513,2001.0,45,64,47.0,0.734375
01cae8c8-947b-49a4-8652-b294a0845e8d,район Щукино,55.8079423,37.46059812918995,1960.0,133,60,1.0,0.016666666666666666
01cfe817-e432-4029-8511-cc6b7762460b,городской округ Троицк,55.51008985,37.43513191501777,2010.0,587,323,28.0,0.08668730650154799
01d1c9ed-d93b-443c-9566-ce96809aa113,район Сокольники,55.78716445,37.686754204398156,1978.0,271,128,21.0,0.1640625
01d39729-b18f-43c5-bd75-4b94c0f3e99e,район Арбат,55.74961935,37.58970763471372,1904.0,43,24,8.0,0.3333333333333333
01fe306a-f4e9-4351-923c-869c78ec9828,район Хамовники,55.741605750000005,37.57762312365846,1965.0,168,107,34.0,0.3177570093457944
0209a2e6-8bd9-48a2-a4e4-ec7c19045544,район Хамовники,55.742972,37.60230386966435,1914.0,82,30,4.0,0.13333333333333333
021def8d-6777-49b5-8252-2d38478eb419,район Печатники,55.688399000000004,37.72655588129326,1970.0,179,81,4.0,0.04938271604938271
021e1f7e-542d-4749-aee6-910e230b272c,район Черёмушки,55.66939805,37.568402659109275,2003.0,742,397,98.0,0.24685138539042822
021f35f5-fe8e-4291-b7f1-48eecca62b6e,Басманный район,55.75833435,37.645208802675754,2001.0,38,18,7.0,0.3888888888888889
023ac684-1359-4a33-92d8-fd48bbd542af,район Чертаново Центральное,55.60863295,37.59275684223222,2012.0,230,118,37.0,0.3135593220338983
02468c03-eb5a-4bf1-91de-fad1cfe908f1,район Тёплый Стан,55.629041400000006,37.50902319025679,1972.0,1,429,92.0,0.21445221445221446
02504cec-1725-41e1-9604-7c25270e5be8,район Левобережный,55.86887595,37.46362485,2008.0,304,147,22.0,0.14965986394557823
0277b7ad-4e9a-428b-83db-08c79ca578cc,район Печатники,55.68302905,37.723421805761205,1973.0,226,98,5.0,0.05102040816326531
0287d552-a679-46e4-b5c6-3b18ccc653b3,район Аэропорт,55.80499985,37.53831138843775,1981.0,137,81,29.0,0.35802469135802467
028bdf3b-1a2f-492e-a0c9-3a39dda6892a,Бутырский район,55.8124158,37.5884646114927,1966.0,127,70,5.0,0.07142857142857142
0293496b-d6ec-436b-8d2c-2ad2021d7d60,Пресненский район,55.75878365,37.574365449260966,1959.0,66,33,6.0,0.18181818181818182
029934ae-b52b-4051-a713-90a557225f4e,район Лефортово,55.764920000000004,37.71350274017382,1961.0,77,40,5.0,0.125
02a1ce9d-fa1f-4590-9638-a4c3768c692f,Даниловский район,55.7125456,37.618978250083664,2015.0,64,71,41.0,0.5774647887323944
02a653a2-e8d0-4538-8352-0d174e30e617,район Строгино,55.8012806,37.396056514808365,1980.0,182,95,15.0,0.15789473684210525
02aad1d5-ba21-4402-8dd2-b77da6b037d9,район Южное Медведково,55.8750109,37.62002852241103,1978.0,304,178,28.0,0.15730337078651685
02aca099-1239-4407-91f0-9904fbf5d074,район Северное Медведково,55.8889934,37.6505140132034,1974.0,510,214,23.0,0.10747663551401869
02b6e673-debb-4c61-9bfc-f10615f0cfca,район Хорошёво-Мнёвники,55.7860719,37.462715494609895,1966.0,173,96,7.0,0.07291666666666667
02d40a5b-070e-4bb4-a125-1727d43c5d3f,район Замоскворечье,55.722891700000005,37.63255253137331,1932.0,158,66,4.0,0.06060606060606061
02d88b70-f43a-43a9-a725-574b45d78d07,район Черёмушки,55.6681939,37.57054135,1962.0,124,72,9.0,0.125
02e30cf6-5dc1-4084-acd9-26c2592dee91,район Тропарёво-Никулино,55.64708135,37.46822785961539,2011.0,317,160,47.0,0.29375
02e3434a-9de5-4294-979c-85f5754f9943,Пресненский район,55.7631167,37.572825473799966,1931.0,123,67,18.5,0.26865671641791045
02fbe26d-1e04-41be-bda1-cdb69bf31743,Таганский район,55.7367921,37.674642570638824,1973.0,180,95,14.0,0.14736842105263157
02fc1593-1266-4fa4-b9e3-95d46fc84a42,Гагаринский район,55.68257035,37.54689550383942,1965.0,145,96,25.0,0.2604166666666667
02fccd5f-5a11-4e64-9964-086624a3489d,Хорошёвский район,55.7817695,37.53257119508952,2006.0,161,64,10.0,0.15625
03006f0a-efa0-4615-a827-1c0c5031e485,район Измайлово,55.7907889,37.79761392455888,1959.0,89,38,4.0,0.10526315789473684
0303dea6-a382-4bc6-b1db-195f53e6caf9,район Выхино-Жулебино,55.702737299999995,37.816177550000006,1969.0,147,98,27.0,0.2755102040816326
0306d5e3-57e7-4d80-8ad1-1a51b9b9b908,район Преображенское,55.8046829,37.72285807029063,1969.0,126,84,23.0,0.27380952380952384
031021b5-65f8-4b56-ad72-62a2f6e9883b,Савёловский район,55.7976831,37.57703525,1962.0,77,40,5.0,0.125
0311ea03-4ad9-40fa-b028-0cb7bf279384,Войковский район,55.81892445,37.51470873613566,1971.0,202,98,7.0,0.07142857142857142
0311eb7c-f355-4b2d-9368-9a320d7c7784,район Черёмушки,55.67332845,37.573671001271165,1962.0,125,72,11.0,0.1527777777777778
0315a771-4acc-426f-aa6b-6bfb3383e25a,район Северное Тушино,55.8549856,37.4267386,2005.0,462,237,36.0,0.1518987341772152
0315e60c-4f99-46ec-a6a0-bbf52a2006ad,Академический район,55.6868781,37.57899802999677,2015.0,230,111,16.0,0.14414414414414414
031f23fd-31e8-41cb-b74b-6e7538984a1c,Таганский район,55.73821465,37.68502410649674,2013.0,413,328,120.0,0.36585365853658536
032fa1b2-0a25-4d91-872a-d252e30da489,район Кунцево,55.744340300000005,37.41764292094898,1964.0,103,72,21.0,0.2916666666666667
03372fdb-aab3-4937-9776-b39ae3e33442,район Москворечье-Сабурово,55.6359239,37.72118065227093,2004.0,593,252,12.0,0.047619047619047616
0346dcef-21ba-462b-8863-4a2dd2658908,Даниловский район,55.72636755,37.6593412,1963.0,113,71,9.0,0.1267605633802817
03471d34-0eda-41df-aef7-12267a3aa8ed,Даниловский район,55.70429595,37.66665983037717,2004.0,242,136,51.0,0.375
03477c8e-3605-4621-b5c4-748f05701394,Красносельский район,55.77620335,37.63918197073246,1967.0,124,90,35.0,0.3888888888888889
035425f1-215e-4b65-9843-34e2c01d8b64,район Преображенское,55.7913457,37.72702402212185,1967.0,143,96,16.0,0.16666666666666666
035d55a4-c980-424d-80ab-4f30b5f40d3b,район Кунцево,55.740951300000006,37.422577149999995,1964.0,87,72,38.0,0.5277777777777778
037a3427-d2b7-4aad-ad93-3c31ce47cbad,район Южное Тушино,55.8482887,37.42471131124536,1966.0,134,72,7.0,0.09722222222222222
037f1232-9821-4a14-85e1-2bc1ed5b9877,Тверской район,55.78231065,37.58939695,1966.0,159,96,12.0,0.125
03816de9-56a0-454a-815c-cab4163ba730,район Замоскворечье,55.7364618,37.63399994737623,1967.0,132,65,13.0,0.2
038502ae-b7ae-42a0-b81e-a34f9f4be098,район Северное Измайлово,55.8070711,37.81238677517986,1963.0,123,68,4.5,0.058823529411764705
038f8072-4098-4033-b4a1-9e6c73304c91,район Беговой,55.7815398,37.5559824,1940.0,387,158,13.0,0.08227848101265822
039df5b5-1123-49a7-8706-09fef9a51946,Пресненский район,55.759341750000004,37.59346730221148,1893.0,56,45,21.0,0.4666666666666667
03a109de-a22c-4cd9-8501-91eac2b2568c,район Нагатино-Садовники,55.68388385,37.656995867226705,2009.0,636,446,192.0,0.4304932735426009
03a5a670-972a-4076-911b-5aef576b1d33,район Чертаново Северное,55.624865150000005,37.600911590305515,1971.0,190,94,4.0,0.0425531914893617
03ae2f6f-68b1-43a6-8665-44d213585029,городской округ Щербинка,55.514825200000004,37.56981752114564,1983.0,187,70,1.0,0.014285714285714285
03b22bb8-3864-4341-b1d7-66e5441c9f8a,район Беговой,55.781494800000004,37.56428920424423,1965.0,119,72,10.0,0.1388888888888889
03b93240-d892-495f-b447-215c005f50e8,район Измайлово,55.8013337,37.80377810100059,1960.0,114,60,3.0,0.05
03bc5cb7-f0c8-4d90-9daf-4c0617abfca2,район Хамовники,55.742268249999995,37.59226607187088,1902.0,82,40,9.0,0.225
03bebd95-717c-4155-8079-e465c2ebe023,Рязанский район,55.713584749999995,37.78554743260516,1970.0,463,215,13.0,0.06046511627906977
03c38f55-0979-4879-b90e-90b45036a156,район Хорошёво-Мнёвники,55.7695799,37.479119897459675,2002.0,264,120,38.0,0.31666666666666665
03cd5ce5-720f-4022-acb7-249d5c39e05c,Бабушкинский район,55.85817745,37.666741772652756,1958.0,179,79,5.0,0.06329113924050633
03d122ca-c10a-4d2d-acef-185ab7706f45,Донской район,55.712834,37.60584365256031,1963.0,95,64,11.0,0.171875
03dabcc4-4e24-492f-96f8-969c91ddad8a,район Новогиреево,55.7437828,37.80667,2014.0,145,88,28.0,0.3181818181818182
03dc842c-6ebc-41fd-a7cd-4ea248877d72,район Коптево,55.828799700000005,37.51945138886232,1964.0,178,80,3.0,0.0375
03ec7fb5-c384-481a-93ec-4486a5703352,Останкинский район,55.8104659,37.62072980521472,1967.0,126,72,9.0,0.125
03f17ea5-5afc-4003-8ccf-b71978717ffe,Ломоносовский район,55.6846961,37.53160671685268,1975.0,212,111,21.0,0.1891891891891892
03f82ab3-1b5d-43e4-8ed9-bc548e8d5a03,Пресненский район,55.76340835,37.547016327173914,1968.0,149,86,12.0,0.13953488372093023
03fe2eaf-3d64-4658-a353-7004a24c9447,Тимирязевский район,55.81098575,37.563067162047716,1965.0,167,80,10.0,0.125
04086130-a63b-4ccb-9274-f3344d800e5f,район Дорогомилово,55.73470895,37.519487752725524,1958.0,269,125,12.0,0.096
040c42a3-b5f3-48b3-a7c6-cecc6d876268,район Отрадное,55.8612777,37.59630858963349,1983.0,580,271,36.0,0.13284132841328414
0415e2fa-c7e0-4e5c-989a-9cfb5a8918e0,район Богородское,55.81946015,37.706481576872754,1986.0,87,40,8.0,0.2
0417f175-2a7a-4fa2-85db-2c1129763c2d,Тверской район,55.7902972,37.58909890004382,1926.0,203,80,9.0,0.1125
042f33b5-c4b1-4fc4-89ec-bf0c4a2dd79c,район Лефортово,55.75738345,37.68383284371318,1975.0,236,111,14.0,0.12612612612612611
042f762e-6878-4dde-95d2-0d99a044b233,район Выхино-Жулебино,55.697673050000006,37.844485986434094,1996.0,145,59,9.0,0.15254237288135594
043fbcd2-9f47-49d2-adf2-42ec0485726c,район Беговой,55.8055829,37.5184495,1927.0,170,81,14.0,0.1728395061728395
04425ada-0785-4a9b-b541-21014e206269,район Соколиная Гора,55.7686468,37.74511,1969.0,174,84,5.0,0.05952380952380952
04431195-064c-4e97-a6af-e06e6dcfcf41,район Перово,55.747908249999995,37.771872592451615,1985.0,174,95,6.0,0.06315789473684211
0446ffa5-289c-4c4b-b7df-4cdcb5ddac9f,район Косино-Ухтомский,55.7204285,37.8982357498192,2007.0,387,184,11.0,0.059782608695652176
044a7767-7764-45eb-ba30-1adc8c8f06ad,Тверской район,55.77167045,37.5926350871641,1977.0,199,113,37.0,0.3274336283185841
044b00bd-9671-4b03-8ab2-3d09d625bd40,район Вешняки,55.7414912,37.820068498488524,1971.0,187,98,27.0,0.2755102040816326
04520451-00d3-4db4-877d-db531e43e850,район Печатники,55.6943876,37.720663327847845,2006.0,683,368,107.0,0.2907608695652174
045321c4-ee52-4ca8-a651-979b6540da6c,район Проспект Вернадского,55.67064225,37.50951322016781,1963.0,132,72,5.0,0.06944444444444445
