house_id,houseguid,exploitation_start_year,living_quarters_count,address,lat,lon,mun_obr,total_ppl,house_ppf,theoretical_non_vacant_flats,vacant_flats_count,vacant_flats_share
8098078,b0bc1eac-2f66-4b7a-b722-8ab0a2b216cc,1999.0,156.0,"г. Москва, ул. 1905 года, д. 23",55.7679224,37.557370881302724,Пресненский район,276.0,2.8098832133768,98.22472289455574,58.0,0.3717948717948718
7631144,dab322f6-a527-498f-b589-e09274ef3361,1965.0,84.0,"г. Москва, ул. 1905 года, д. 25",55.7682772,37.556450636397955,Пресненский район,92.0,2.4807028416082897,37.086263802703,47.0,0.5595238095238095
7674164,3dc7c15f-75f3-48cb-a4d2-ee4e9562f972,1968.0,143.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 1, к. 1",55.656096149999996,37.49180817331144,район Тропарёво-Никулино,288.0,3.6029502537245395,79.93449249050298,63.0,0.4405594405594406
7674170,aeb7ad70-c4b7-4796-bd14-c8498d4a977c,1968.0,143.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 1, к. 2",55.65558225,37.49070964257167,район Тропарёво-Никулино,313.0,3.4946000986008188,89.56675761707902,53.0,0.3706293706293706
7674221,b05846d5-4a06-4eb5-b77c-7974ea21ae7f,1968.0,143.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 1, к. 3",55.6549797,37.489424680837686,район Тропарёво-Никулино,292.0,3.5748928817040606,81.68076909225069,61.0,0.42657342657342656
8083906,e16d1d14-32c2-4661-89e7-d2baa1c34c2d,1971.0,143.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 2, к. 1",55.65717735,37.494571874237934,район Тропарёво-Никулино,265.0,3.639277263301552,72.8166558432517,70.0,0.48951048951048953
7675431,e5325b8d-653a-4016-8faa-552c0f1d4369,1971.0,143.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 2, к. 2",55.6579947,37.4953571,район Тропарёво-Никулино,315.0,3.639277263301552,86.55564751178976,56.0,0.3916083916083916
7675395,06ca2748-0e84-4413-87b6-6b76545ddd57,1969.0,466.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 3, к. 1",55.65735265,37.48991616977151,район Тропарёво-Никулино,983.0,3.355840360878032,292.92215787726116,173.0,0.37124463519313305
8101529,1002c754-2358-40af-b717-ec00db9e6934,1971.0,335.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 3, к. 3",55.65546835,37.48798991287778,район Тропарёво-Никулино,515.0,3.211621049061786,160.35515776384872,175.0,0.5223880597014925
7675505,c9bcc7a8-468c-4765-81bb-ed8ef6aa7744,1971.0,95.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 4, к. 1",55.65749235,37.493002056534934,район Тропарёво-Никулино,180.0,4.355647396652059,41.32565922079824,54.0,0.5684210526315789
7675588,32c773d7-c0ff-4def-b155-931a0ec346dc,1970.0,251.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 4, к. 3",55.65881965,37.49424324232548,район Тропарёво-Никулино,597.0,3.5328449437761718,168.9856219282246,82.0,0.32669322709163345
7675596,92c69607-10d6-434d-92a9-e78940778e3d,1970.0,107.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 4, к. 4",55.6599644,37.4947759,район Тропарёво-Никулино,189.0,3.3825319124770377,55.87530432539061,51.0,0.4766355140186916
7675607,23cfe6c3-2202-4878-980a-05f0d982b576,1979.0,103.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 6",55.6588127,37.49305086074253,район Тропарёво-Никулино,190.0,3.0246839898115416,62.81647955290638,40.0,0.3883495145631068
7675614,d544f345-460c-48ec-8954-7def981e93f0,1971.0,143.0,"г. Москва, ул. 26-ти Бакинских Комиссаров, д. 6, к. 1",55.658514600000004,37.491755999999995,район Тропарёво-Никулино,375.0,3.640570374287618,103.00583739529537,40.0,0.27972027972027974
